SF_ID_ENCR,ES_ECID,ES_HQECID,ES_MatchScore,ES_Tier,ES_WebsiteStatus,ES_InactiveFlag
25BAA4EB69706D1AE46199BCE7AF1E70,143159555,143159555,1,1,VALID,
CCCDFE8755E6ADD26A72B1C0394575BF,101606804,101606804,1,1,VALID,
0B34B77205E99B00ADEA2B0E2D4BA03D,171033001,171033001,1,1,VALID,
402D65BCD6F658C08A3AEA288929A642,149813903,149813903,1,3,VALID,
A7A023023E258AB284DDBAB7D38952F5,105605494,105605494,1,1,VALID,
65A4F6CE178A7733480840E0E1DCC92E,139929627,139929627,1,3,VALID,
E950BE72815F6E4E168A2720898B50D1,101216797,101216797,1,1,VALID,
B0C3F807D77BE208184FE0AE75DFD621,145002244,145002244,1,3,VALID,
4ECDDD1ED3206BACAB5712F30BC50BF7,144825742,144825742,1,2,VALID,
CE93E586143EF7B156B54A19396B235F,152186798,152186798,1,2,VALID,
1658C6382190B87DBC5F006E093FA538,158268383,158268383,1,1,VALID,
0DDC60DCCCEB017F7C928C08371BE5F1,154475965,154475965,1,3,VALID,
2D5ED15FED22BD7AFB1D5B4637D7F52C,114989407,114989407,1,2,,
BF29DF238DBD237AC9E0BEC4C6E233DB,146419100,146419100,1,2,VALID,
EA8A5411832F04AA63113135349D47BC,,,,,,
D4B0D02E974FF93B2274F9CA0B737109,125938395,125938395,1,3,PARKED,1
3033A809197BE7E42246A71BBC7CC903,100517794,100517794,1,3,VALID,
FA55A6543028EFE6FEF83C8A24BF1431,121633875,121633875,1,1,VALID,
5862F0F63DE2A162BC9B5F9E9B718C50,157397420,157397420,1,3,INVALID,1
04F94C8A03D1D851DDA312ED448ABFE2,134320820,134320820,1,3,VALID,
4B200D3328B5FCC6ADBECF3FA2FE6138,104715745,104715745,1,2,VALID,
BA413835AEA43508F9BFC2F28B25A5A7,159849658,159849658,1,3,VALID,
321218CFFE414ADFC964FD4D06591FE7,101568163,101568163,1,3,VALID,
4CCA1445CBD81565D567EBA5E2E79914,181731096,181731096,1,1,VALID,
F5FDFEFA2FF8B170CBD92A92E554D6CA,140632390,140632390,1,1,VALID,
B0CB27A52B9D2C6B1DC060575C535C37,129001922,129001922,1,1,VALID,
7664220E84110EC3B0B9940925BA7118,152791319,152791319,1,3,VALID,
F3F3DCE6F55F73769D6A9CA4BB739282,156553139,156553139,1,1,VALID,
430A1410313B1FD11B9C01804FF92EB0,,,,,,
AB10016EF2486DE9668D8EFB80159D0F,208922896,208922896,1,2,,
C11CC068B5CD2E54CF3B3D55ED4EC1BE,136236143,136236143,1,1,VALID,
ED89E7B56DB9C0C2EEB92D35D9E2F9B5,130915092,130915092,1,3,VALID,
BDE7FE467A3D00F78EB79137005A9F30,133471517,133471517,1,2,VALID,
D90608E98292E593A6739E8DFCFA02CB,,,,,,
88164A61F8436589EBBE9289703FCDF6,103746636,103746636,1,2,,
A6AECF8E93C2D60455A9BD55D3CA3D76,119525001,119525001,1,1,VALID,
08DFCC1666DA6C62C2610E298A90D71D,122321937,122321937,1,2,VALID,
306D315E1EEE1DF889AFF6313E17BE32,150456571,150456571,1,2,VALID,
642F941219099C855208AFBB785DF500,143116113,143116113,1,2,VALID,
3118D7C839CECC844DA0EF733F43C278,133536525,133536525,1,2,VALID,
57B477E6AB16247CFE931CFDCFDF0B0E,154156270,154156270,1,3,VALID,
8A1058272E901A0A5489DFD2A33931E1,100929801,100929801,1,1,VALID,
884E4B9E3F6E036F0E154487C1D4090D,127495579,127495579,1,1,VALID,
C205719DAEBECA397C6FF6E4A49C3CB9,127868899,127868899,1,2,VALID,
E3EB0490D70F9AA669DB1B1F9D801432,152463655,152463655,1,2,,
3F15F27FA1AD9A723B35C4C1468939C4,124820480,124820480,1,3,INVALID,1
EF5A2DE7DE3F5DEE9ED263C930A000C9,109401348,109401348,1,1,VALID,
62736E26F013A789F241DA3784D30AEF,112797577,112797577,1,3,VALID,
5470A1E33E1AC4D4F59578B6C709EAF0,161492534,161492534,1,3,VALID,
4367773662827BC61FBA304BED8D6866,116532234,116532234,1,3,INVALID,1
DFCA5C0BD3F1789C590E99935CE89C8E,160156740,160156740,1,2,VALID,
8826B0A4A7867C0A036775907978D0D8,143870762,143870762,1,2,,
EE9D3E682F66D0749B4B43C5E62941F2,160118181,160118181,1,3,INVALID,1
FB9AC2DAB507F3CE4B24F2CBB5D9F4F1,160260912,160260912,1,3,INVALID,1
493BEA542725C964E4721C73FE0DCFCB,150445701,150445701,1,1,VALID,
C5786B562A230BD809F90633A23F346E,100187124,100187124,1,1,VALID,
D0FE91674AFF1F3B4757221122C16252,101518615,101518615,1,1,VALID,
3FF08A296FB8A3191B8BA47BE4C80DAC,,,,,,
9C357BC70231FAC5C4FB411F9F0CEBB6,126111826,126111826,1,2,VALID,
12D766F65F2EE70042B3EE1F2E1CBE77,,,,,,
51782C35351C14B10C76BA94A00C96BB,126740021,126740021,1,3,VALID,
2AC2BF3A4D6E4EFF63F863E1CFC0ECCF,145756036,145756036,1,2,VALID,
2BCFA33FA06420DA36FA3694BAB91932,114989407,114989407,1,1,REDIRECT,
DA749FA9A67F8C6D94D3F8091FA83E66,139921542,139921542,1,1,VALID,
14BE355C71B4A679861518481D20CA0C,,,,,,
B07D4F84495C2740ECB765E60B622F14,146223559,146223559,1,2,VALID,
3A4A16FA54C3DC9078C0B8D91573FD1E,128984681,128984681,1,1,REDIRECT,
1BB8865453245995C338CE0D498D5DB7,,,,,,
8F8FC6F89F5C802544C9EC2427B33B45,115741186,115741186,1,1,VALID,
3D1AD28DB6A5A14CDC7BF730B4894C6B,122232823,122232823,1,2,,
C05A16C2B2860BB7B0B5171BBEE52B37,145118121,145118121,1,2,,
4595D7E1035F990F66515FF8BA9AC6B0,104021928,104021928,1,1,VALID,
9A0ED010C2DB62E1E6F2271143A5046B,,,,,,
